,Site,Year,Date,Day,Stage,Mean,Stdev,Sterror,Logmean,,
614,ShotgunFairy,2017,6/11/2017,6/11/2017,Beetle,0.133333333,0.351865775,0.090851353,0.054357662,,
591,ShotgunFairy,2017,5/17/2017,5/17/2017,Larvae,3.933333333,4.399134114,1.135851544,0.693140461,,
596,ShotgunFairy,2017,5/22/2017,5/22/2017,Larvae,0.666666667,0.6172134,0.159363815,0.22184875,,
601,ShotgunFairy,2017,5/28/2017,5/28/2017,Larvae,1.066666667,1.279880947,0.330463839,0.315270435,,
606,ShotgunFairy,2017,6/5/2017,6/5/2017,Larvae,0,0,0,0,,
611,ShotgunFairy,2017,6/11/2017,6/11/2017,Larvae,0,0,0,0,,
592,ShotgunFairy,2017,5/17/2017,5/17/2017,Pupae,0,0,0,0,,
597,ShotgunFairy,2017,5/22/2017,5/22/2017,Pupae,0,0,0,0,,
602,ShotgunFairy,2017,5/28/2017,5/28/2017,Pupae,0,0,0,0,,
607,ShotgunFairy,2017,6/5/2017,6/5/2017,Pupae,0.2,0.414039336,0.106904497,0.079181246,,
612,ShotgunFairy,2017,6/11/2017,6/11/2017,Pupae,0,0,0,0,,
593,ShotgunFairy,2017,5/17/2017,5/17/2017,Totallarvpup,3.933333333,4.399134114,1.135851544,0.693140461,,
598,ShotgunFairy,2017,5/22/2017,5/22/2017,Totallarvpup,0.666666667,0.6172134,0.159363815,0.22184875,,
603,ShotgunFairy,2017,5/28/2017,5/28/2017,Totallarvpup,1.066666667,1.279880947,0.330463839,0.315270435,,
608,ShotgunFairy,2017,6/5/2017,6/5/2017,Totallarvpup,0.2,0.414039336,0.106904497,0.079181246,,
613,ShotgunFairy,2017,6/11/2017,6/11/2017,Totallarvpup,0,0,0,0,,
620,Target,2017,5/17/2017,5/17/2017,Adultcumulative,,,,0,,
625,Target,2017,5/23/2017,5/23/2017,Adultcumulative,,,,0,,
630,Target,2017,5/29/2017,5/29/2017,Adultcumulative,,,,0,,
635,Target,2017,6/4/2017,6/4/2017,Adultcumulative,,,,0,,
640,Target,2017,6/10/2017,6/10/2017,Adultcumulative,,,,0,,
619,Target,2017,5/17/2017,5/17/2017,Beetle,0,0,0,0,,
624,Target,2017,5/23/2017,5/23/2017,Beetle,0.133333333,0.516397779,0.133333333,0.054357662,,
629,Target,2017,5/29/2017,5/29/2017,Beetle,1.133333333,0.990430402,0.25572803,0.329058719,,
634,Target,2017,6/4/2017,6/4/2017,Beetle,0,0,0,0,,
639,Target,2017,6/10/2017,6/10/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
616,Target,2017,5/17/2017,5/17/2017,Larvae,6.333333333,6.320789583,1.632020853,0.865301426,,
621,Target,2017,5/23/2017,5/23/2017,Larvae,2.2,2.366431913,0.611010093,0.505149978,,
626,Target,2017,5/29/2017,5/29/2017,Larvae,1,0.845154255,0.21821789,0.301029996,,
631,Target,2017,6/4/2017,6/4/2017,Larvae,0.066666667,0.25819889,0.066666667,0.028028724,,
636,Target,2017,6/10/2017,6/10/2017,Larvae,0,0,0,0,,
617,Target,2017,5/17/2017,5/17/2017,Pupae,0,0,0,0,,
622,Target,2017,5/23/2017,5/23/2017,Pupae,0,0,0,0,,
627,Target,2017,5/29/2017,5/29/2017,Pupae,1.533333333,2.133630932,0.550901138,0.403692338,,
632,Target,2017,6/4/2017,6/4/2017,Pupae,3.733333333,4.165618916,1.075558179,0.67516709,,
637,Target,2017,6/10/2017,6/10/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
618,Target,2017,5/17/2017,5/17/2017,Totallarvpup,6.333333333,6.320789583,1.632020853,0.865301426,,
623,Target,2017,5/23/2017,5/23/2017,Totallarvpup,2.2,2.366431913,0.611010093,0.505149978,,
628,Target,2017,5/29/2017,5/29/2017,Totallarvpup,2.533333333,2.263583337,0.584454704,0.548184611,,
633,Target,2017,6/4/2017,6/4/2017,Totallarvpup,3.8,4.262795863,1.100649159,0.681241237,,
638,Target,2017,6/10/2017,6/10/2017,Totallarvpup,0.066666667,0.25819889,0.066666667,0.028028724,,
645,Vulgaris,2011,5/24/2011,5/24/2017,Adultcumulative,,,,0,,
650,Vulgaris,2011,5/30/2011,5/30/2017,Adultcumulative,,,,0,,
655,Vulgaris,2011,6/1/2011,6/1/2017,Adultcumulative,,,,0,,
660,Vulgaris,2011,6/6/2011,6/6/2017,Adultcumulative,,,,0,,
665,Vulgaris,2011,6/8/2011,6/8/2017,Adultcumulative,,,,0,,
670,Vulgaris,2011,6/10/2011,6/10/2017,Adultcumulative,,,,0,,
675,Vulgaris,2011,6/13/2011,6/13/2017,Adultcumulative,,,,0,,
680,Vulgaris,2011,6/15/2011,6/15/2017,Adultcumulative,,,,0,,
685,Vulgaris,2012,5/8/2012,5/8/2017,Adultcumulative,0,,,0,,
690,Vulgaris,2012,5/11/2012,5/11/2017,Adultcumulative,0,,,0,,
695,Vulgaris,2012,5/14/2012,5/14/2017,Adultcumulative,0,,,0,,
700,Vulgaris,2012,5/16/2012,5/16/2017,Adultcumulative,0,,,0,,
705,Vulgaris,2012,5/18/2012,5/18/2017,Adultcumulative,0,,,0,,
710,Vulgaris,2012,5/21/2012,5/21/2017,Adultcumulative,0,,,0,,
715,Vulgaris,2012,5/23/2012,5/23/2017,Adultcumulative,0,,,0,,
720,Vulgaris,2012,5/28/2012,5/28/2017,Adultcumulative,0,,,0,,
725,Vulgaris,2012,5/31/2012,5/31/2017,Adultcumulative,90.5,,,1.961421094,,
730,Vulgaris,2012,6/1/2012,6/1/2017,Adultcumulative,116,,,2.068185862,,
735,Vulgaris,2012,6/4/2012,6/4/2017,Adultcumulative,129,,,2.113943352,,
740,Vulgaris,2012,6/4/2012,6/5/2017,Adultcumulative,131.5,,,2.122215878,,
745,Vulgaris,2012,6/4/2012,6/6/2017,Adultcumulative,132,,,2.123851641,,
750,Vulgaris,2012,6/7/2012,6/7/2017,Adultcumulative,133.5,,,2.128722284,,
755,Vulgaris,2012,6/11/2012,6/11/2017,Adultcumulative,134.5,,,2.131939295,,
760,Vulgaris,2012,6/12/2012,6/12/2017,Adultcumulative,135,,,2.133538908,,
765,Vulgaris,2016,5/1/2016,5/1/2017,Adultcumulative,,,,0,,
770,Vulgaris,2016,6/3/2016,6/3/2017,Adultcumulative,,,,0,,
775,Vulgaris,2017,5/17/2017,5/17/2017,Adultcumulative,0,0,0,0,,
780,Vulgaris,2017,5/20/2017,5/20/2017,Adultcumulative,0,,,0,,
785,Vulgaris,2017,5/23/2017,5/23/2017,Adultcumulative,0,,,0,,
790,Vulgaris,2017,5/26/2017,5/26/2017,Adultcumulative,0,,,0,,
795,Vulgaris,2017,5/29/2017,5/29/2017,Adultcumulative,0,,,0,,
800,Vulgaris,2017,6/1/2017,6/1/2017,Adultcumulative,0.3,,,0.113943352,,
805,Vulgaris,2017,6/4/2017,6/4/2017,Adultcumulative,20.667,,,1.335798783,,
810,Vulgaris,2017,6/7/2017,6/7/2017,Adultcumulative,30,,,1.491361694,,
815,Vulgaris,2017,6/10/2017,6/10/2017,Adultcumulative,34.667,,,1.552266582,,
644,Vulgaris,2011,5/24/2011,5/24/2017,Beetle,0,0,0,0,,
649,Vulgaris,2011,5/30/2011,5/30/2017,Beetle,0.4,0.91025899,0.235027861,0.146128036,,
654,Vulgaris,2011,6/1/2011,6/1/2017,Beetle,0.733333333,1.387014608,0.358125632,0.238882089,,
659,Vulgaris,2011,6/6/2011,6/6/2017,Beetle,1.933333333,1.579632266,0.407859297,0.467361417,,
664,Vulgaris,2011,6/8/2011,6/8/2017,Beetle,1.666666667,1.67616342,0.432783534,0.425968732,,
669,Vulgaris,2011,6/10/2011,6/10/2017,Beetle,1.666666667,1.951800146,0.503952631,0.425968732,,
674,Vulgaris,2011,6/13/2011,6/13/2017,Beetle,1.142857143,1.167320591,0.311979551,0.330993219,,
679,Vulgaris,2011,6/15/2011,6/15/2017,Beetle,1.2,0.941123948,0.242997159,0.342422681,,
684,Vulgaris,2012,5/8/2012,5/8/2017,Beetle,0,0,0,0,,
689,Vulgaris,2012,5/11/2012,5/11/2017,Beetle,0,0,0,0,,
694,Vulgaris,2012,5/14/2012,5/14/2017,Beetle,0,0,0,0,,
699,Vulgaris,2012,5/16/2012,5/16/2017,Beetle,0,0,0,0,,
704,Vulgaris,2012,5/18/2012,5/18/2017,Beetle,0.466666667,0.915475416,0.236374736,0.166331422,,
709,Vulgaris,2012,5/21/2012,5/21/2017,Beetle,2.133333333,2.133630932,0.550901138,0.496006599,,
714,Vulgaris,2012,5/23/2012,5/23/2017,Beetle,0.4,0.507092553,0.130930734,0.146128036,,
719,Vulgaris,2012,5/28/2012,5/28/2017,Beetle,0.8,1.780850519,0.459813627,0.255272505,,
724,Vulgaris,2012,5/31/2012,5/31/2017,Beetle,0.466666667,0.743223353,0.191899445,0.166331422,,
729,Vulgaris,2012,6/1/2012,6/1/2017,Beetle,,,,0,,
734,Vulgaris,2012,6/4/2012,6/4/2017,Beetle,0.2,0.414039336,0.106904497,0.079181246,,
739,Vulgaris,2012,6/4/2012,6/5/2017,Beetle,,,,0,,
744,Vulgaris,2012,6/4/2012,6/6/2017,Beetle,,,,0,,
749,Vulgaris,2012,6/7/2012,6/7/2017,Beetle,0.2,0.414039336,0.106904497,0.079181246,,
754,Vulgaris,2012,6/11/2012,6/11/2017,Beetle,,,,0,,
759,Vulgaris,2012,6/12/2012,6/12/2017,Beetle,0,0,0,0,,
764,Vulgaris,2016,5/1/2016,5/1/2017,Beetle,0.133333333,0.351865775,0.090851353,0.054357662,,
769,Vulgaris,2016,6/3/2016,6/3/2017,Beetle,0.733333333,1.162919151,0.300264434,0.238882089,,
774,Vulgaris,2017,5/17/2017,5/17/2017,Beetle,0,0,0,0,,
779,Vulgaris,2017,5/20/2017,5/20/2017,Beetle,0,0,0,0,,
784,Vulgaris,2017,5/23/2017,5/23/2017,Beetle,1.2,1.780850519,0.459813627,0.342422681,,
789,Vulgaris,2017,5/26/2017,5/26/2017,Beetle,2.066666667,2.491891613,0.643403648,0.486666573,,
794,Vulgaris,2017,5/29/2017,5/29/2017,Beetle,0.533333333,0.743223353,0.191899445,0.185636577,,
799,Vulgaris,2017,6/1/2017,6/1/2017,Beetle,0.8,1.082325539,0.279455252,0.255272505,,
804,Vulgaris,2017,6/4/2017,6/4/2017,Beetle,0.333333333,0.487950036,0.125988158,0.124938737,,
809,Vulgaris,2017,6/7/2017,6/7/2017,Beetle,0.133333333,0.351865775,0.090851353,0.054357662,,
814,Vulgaris,2017,6/10/2017,6/10/2017,Beetle,0.133333333,0.351865775,0.090851353,0.054357662,,
641,Vulgaris,2011,5/24/2011,5/24/2017,Larvae,43.93333333,29.09213607,7.511557233,1.652568637,,
646,Vulgaris,2011,5/30/2011,5/30/2017,Larvae,32.26666667,18.21877629,4.704067811,1.522009287,,
651,Vulgaris,2011,6/1/2011,6/1/2017,Larvae,30.66666667,17.28610783,4.463253849,1.500602351,,
656,Vulgaris,2011,6/6/2011,6/6/2017,Larvae,32.86666667,23.14200469,5.975239917,1.529772453,,
661,Vulgaris,2011,6/8/2011,6/8/2017,Larvae,19.86666667,23.49123443,6.06541065,1.319453078,,
666,Vulgaris,2011,6/10/2011,6/10/2017,Larvae,10.06666667,22.26934686,5.749920634,1.044016829,,
671,Vulgaris,2011,6/13/2011,6/13/2017,Larvae,0.357142857,0.633323694,0.169262877,0.132625565,,
676,Vulgaris,2011,6/15/2011,6/15/2017,Larvae,0,0,0,0,,
681,Vulgaris,2012,5/8/2012,5/8/2017,Larvae,40.26666667,39.1069352,10.09736725,1.61559939,,
686,Vulgaris,2012,5/11/2012,5/11/2017,Larvae,28.46666667,15.03741366,3.882643511,1.46933101,,
691,Vulgaris,2012,5/14/2012,5/14/2017,Larvae,24,21.7288485,5.610364558,1.397940009,,
696,Vulgaris,2012,5/16/2012,5/16/2017,Larvae,11.93333333,9.114091653,2.353248346,1.111710471,,
701,Vulgaris,2012,5/18/2012,5/18/2017,Larvae,13.53333333,10.29470507,2.658081418,1.162365235,,
706,Vulgaris,2012,5/21/2012,5/21/2017,Larvae,5.2,4.229150539,1.091961974,0.792391689,,
711,Vulgaris,2012,5/23/2012,5/23/2017,Larvae,3.066666667,4.148436309,1.071121649,0.609238576,,
716,Vulgaris,2012,5/28/2012,5/28/2017,Larvae,2.866666667,2.166849809,0.559478215,0.587336735,,
721,Vulgaris,2012,5/31/2012,5/31/2017,Larvae,0.266666667,0.457737708,0.118187368,0.102662342,,
726,Vulgaris,2012,6/1/2012,6/1/2017,Larvae,,,,0,,
731,Vulgaris,2012,6/4/2012,6/4/2017,Larvae,0.4,0.507092553,0.130930734,0.146128036,,
736,Vulgaris,2012,6/4/2012,6/5/2017,Larvae,,,,0,,
741,Vulgaris,2012,6/4/2012,6/6/2017,Larvae,,,,0,,
746,Vulgaris,2012,6/7/2012,6/7/2017,Larvae,0.133333333,0.351865775,0.090851353,0.054357662,,
751,Vulgaris,2012,6/11/2012,6/11/2017,Larvae,,,,0,,
756,Vulgaris,2012,6/12/2012,6/12/2017,Larvae,0,0,0,0,,
761,Vulgaris,2016,5/1/2016,5/1/2017,Larvae,20.46666667,11.56884157,2.987062049,1.331764613,,
766,Vulgaris,2016,6/3/2016,6/3/2017,Larvae,0.066666667,0.25819889,0.066666667,0.028028724,,
771,Vulgaris,2017,5/17/2017,5/17/2017,Larvae,54.29032258,53.50339151,9.609492792,1.742649124,,
776,Vulgaris,2017,5/20/2017,5/20/2017,Larvae,24.8,15.21371562,3.928164481,1.411619706,,
781,Vulgaris,2017,5/23/2017,5/23/2017,Larvae,45,19.30580964,4.984738614,1.662757832,,
786,Vulgaris,2017,5/26/2017,5/26/2017,Larvae,23.93333333,19.14406535,4.942976418,1.396780343,,
791,Vulgaris,2017,5/29/2017,5/29/2017,Larvae,6.866666667,4.838338951,1.249253745,0.895790748,,
796,Vulgaris,2017,6/1/2017,6/1/2017,Larvae,0.933333333,1.099783528,0.283962886,0.286306739,,
801,Vulgaris,2017,6/4/2017,6/4/2017,Larvae,0,0,0,0,,
806,Vulgaris,2017,6/7/2017,6/7/2017,Larvae,0,0,0,0,,
811,Vulgaris,2017,6/10/2017,6/10/2017,Larvae,0,0,0,0,,
642,Vulgaris,2011,5/24/2011,5/24/2017,Pupae,0,0,0,0,,
647,Vulgaris,2011,5/30/2011,5/30/2017,Pupae,0,0,0,0,,
652,Vulgaris,2011,6/1/2011,6/1/2017,Pupae,0,0,0,0,,
657,Vulgaris,2011,6/6/2011,6/6/2017,Pupae,0.333333333,0.6172134,0.159363815,0.124938737,,
662,Vulgaris,2011,6/8/2011,6/8/2017,Pupae,6.733333333,7.923443215,2.045824241,0.88836673,,
667,Vulgaris,2011,6/10/2011,6/10/2017,Pupae,7.133333333,8.007734356,2.06758812,0.910268572,,
672,Vulgaris,2011,6/13/2011,6/13/2017,Pupae,1.071428571,2.268997939,0.606415207,0.316269962,,
677,Vulgaris,2011,6/15/2011,6/15/2017,Pupae,0.333333333,0.723746864,0.186870637,0.124938737,,
682,Vulgaris,2012,5/8/2012,5/8/2017,Pupae,0,0,0,0,,
687,Vulgaris,2012,5/11/2012,5/11/2017,Pupae,0,0,0,0,,
692,Vulgaris,2012,5/14/2012,5/14/2017,Pupae,0,0,0,0,,
697,Vulgaris,2012,5/16/2012,5/16/2017,Pupae,0,0,0,0,,
702,Vulgaris,2012,5/18/2012,5/18/2017,Pupae,0,0,0,0,,
707,Vulgaris,2012,5/21/2012,5/21/2017,Pupae,2.6,2.472708174,0.638450505,0.556302501,,
712,Vulgaris,2012,5/23/2012,5/23/2017,Pupae,3.2,2.651145305,0.684522774,0.62324929,,
717,Vulgaris,2012,5/28/2012,5/28/2017,Pupae,10.6,9.038014953,2.333605426,1.064457989,,
722,Vulgaris,2012,5/31/2012,5/31/2017,Pupae,5.333333333,4.169046939,1.076443291,0.801632346,,
727,Vulgaris,2012,6/1/2012,6/1/2017,Pupae,,,,0,,
732,Vulgaris,2012,6/4/2012,6/4/2017,Pupae,0.733333333,0.798808637,0.206251503,0.238882089,,
737,Vulgaris,2012,6/4/2012,6/5/2017,Pupae,,,,0,,
742,Vulgaris,2012,6/4/2012,6/6/2017,Pupae,,,,0,,
747,Vulgaris,2012,6/7/2012,6/7/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
752,Vulgaris,2012,6/11/2012,6/11/2017,Pupae,,,,0,,
757,Vulgaris,2012,6/12/2012,6/12/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
762,Vulgaris,2016,5/1/2016,5/1/2017,Pupae,0,0,0,0,,
767,Vulgaris,2016,6/3/2016,6/3/2017,Pupae,2.866666667,1.959105724,0.505838923,0.587336735,,
772,Vulgaris,2017,5/17/2017,5/17/2017,Pupae,0,0,0,0,,
777,Vulgaris,2017,5/20/2017,5/20/2017,Pupae,0,0,0,0,,
782,Vulgaris,2017,5/23/2017,5/23/2017,Pupae,0,0,0,0,,
787,Vulgaris,2017,5/26/2017,5/26/2017,Pupae,0.6,1.121223821,0.289498746,0.204119983,,
792,Vulgaris,2017,5/29/2017,5/29/2017,Pupae,14.66666667,7.5561391,1.950986726,1.194976603,,
797,Vulgaris,2017,6/1/2017,6/1/2017,Pupae,23.53333333,15.91435411,4.109068562,1.38975656,,
802,Vulgaris,2017,6/4/2017,6/4/2017,Pupae,8.133333333,5.152900247,1.330473123,0.960629308,,
807,Vulgaris,2017,6/7/2017,6/7/2017,Pupae,0.733333333,1.032795559,0.266666667,0.238882089,,
812,Vulgaris,2017,6/10/2017,6/10/2017,Pupae,0.066666667,0.25819889,0.066666667,0.028028724,,
643,Vulgaris,2011,5/24/2011,5/24/2017,Totallarvpup,43.93333333,29.09213607,7.511557233,1.652568637,,
648,Vulgaris,2011,5/30/2011,5/30/2017,Totallarvpup,32.26666667,18.21877629,4.704067811,1.522009287,,
653,Vulgaris,2011,6/1/2011,6/1/2017,Totallarvpup,30.66666667,17.28610783,4.463253849,1.500602351,,
658,Vulgaris,2011,6/6/2011,6/6/2017,Totallarvpup,33.2,23.26002088,6.005711567,1.534026106,,
663,Vulgaris,2011,6/8/2011,6/8/2017,Totallarvpup,26.6,27.06552895,6.988289524,1.440909082,,
668,Vulgaris,2011,6/10/2011,6/10/2017,Totallarvpup,17.2,25.65763601,6.624773132,1.260071388,,
673,Vulgaris,2011,6/13/2011,6/13/2017,Totallarvpup,1.428571429,2.709365118,0.724108286,0.385350881,,
678,Vulgaris,2011,6/15/2011,6/15/2017,Totallarvpup,0.333333333,0.723746864,0.186870637,0.124938737,,
683,Vulgaris,2012,5/8/2012,5/8/2017,Totallarvpup,40.26666667,39.1069352,10.09736725,1.61559939,,
688,Vulgaris,2012,5/11/2012,5/11/2017,Totallarvpup,28.46666667,15.03741366,3.882643511,1.46933101,,
693,Vulgaris,2012,5/14/2012,5/14/2017,Totallarvpup,24,21.7288485,5.610364558,1.397940009,,
698,Vulgaris,2012,5/16/2012,5/16/2017,Totallarvpup,11.93333333,9.114091653,2.353248346,1.111710471,,
703,Vulgaris,2012,5/18/2012,5/18/2017,Totallarvpup,13.53333333,10.29470507,2.658081418,1.162365235,,
708,Vulgaris,2012,5/21/2012,5/21/2017,Totallarvpup,7.8,4.857983121,1.254325848,0.944482672,,
713,Vulgaris,2012,5/23/2012,5/23/2017,Totallarvpup,6.266666667,5.861090423,1.51332704,0.861335239,,
718,Vulgaris,2012,5/28/2012,5/28/2017,Totallarvpup,13.46666667,10.02045527,2.587270425,1.160368475,,
723,Vulgaris,2012,5/31/2012,5/31/2017,Totallarvpup,5.6,4.136941589,1.068153725,0.819543936,,
728,Vulgaris,2012,6/1/2012,6/1/2017,Totallarvpup,,,,0,,
733,Vulgaris,2012,6/4/2012,6/4/2017,Totallarvpup,1.133333333,0.743223353,0.191899445,0.329058719,,
738,Vulgaris,2012,6/4/2012,6/5/2017,Totallarvpup,,,,0,,
743,Vulgaris,2012,6/4/2012,6/6/2017,Totallarvpup,,,,0,,
748,Vulgaris,2012,6/7/2012,6/7/2017,Totallarvpup,0.2,0.414039336,0.106904497,0.079181246,,
753,Vulgaris,2012,6/11/2012,6/11/2017,Totallarvpup,,,,0,,
758,Vulgaris,2012,6/12/2012,6/12/2017,Totallarvpup,0.066666667,0.25819889,0.066666667,0.028028724,,
763,Vulgaris,2016,5/1/2016,5/1/2017,Totallarvpup,20.46666667,11.56884157,2.987062049,1.331764613,,
768,Vulgaris,2016,6/3/2016,6/3/2017,Totallarvpup,2.933333333,2.086236073,0.538663838,0.594760753,,
773,Vulgaris,2017,5/17/2017,5/17/2017,Totallarvpup,54.29032258,53.50339151,9.609492792,1.742649124,,
778,Vulgaris,2017,5/20/2017,5/20/2017,Totallarvpup,24.8,15.21371562,3.928164481,1.411619706,,
783,Vulgaris,2017,5/23/2017,5/23/2017,Totallarvpup,45,19.30580964,4.984738614,1.662757832,,
788,Vulgaris,2017,5/26/2017,5/26/2017,Totallarvpup,24.53333333,19.02955095,4.913408929,1.407107515,,
793,Vulgaris,2017,5/29/2017,5/29/2017,Totallarvpup,21.53333333,10.53474975,2.72006069,1.352825441,,
798,Vulgaris,2017,6/1/2017,6/1/2017,Totallarvpup,24.46666667,16.19023809,4.1803015,1.405972104,,
803,Vulgaris,2017,6/4/2017,6/4/2017,Totallarvpup,8.133333333,5.152900247,1.330473123,0.960629308,,
808,Vulgaris,2017,6/7/2017,6/7/2017,Totallarvpup,0.733333333,1.032795559,0.266666667,0.238882089,,
813,Vulgaris,2017,6/10/2017,6/10/2017,Totallarvpup,0.066666667,0.25819889,0.066666667,0.028028724,,
820,Vulgaris road,2017,5/20/2017,5/20/2017,Adultcumulative,0,,,0,,
825,Vulgaris road,2017,5/23/2017,5/23/2017,Adultcumulative,0,,,0,,
830,Vulgaris road,2017,5/26/2017,5/26/2017,Adultcumulative,0,,,0,,
835,Vulgaris road,2017,5/29/2017,5/29/2017,Adultcumulative,0,,,0,,
840,Vulgaris road,2017,6/1/2017,6/1/2017,Adultcumulative,0,,,0,,
845,Vulgaris road,2017,6/4/2017,6/4/2017,Adultcumulative,0.33,,,0.123851641,,
850,Vulgaris road,2017,6/7/2017,6/7/2017,Adultcumulative,14.667,,,1.194985843,,
855,Vulgaris road,2017,6/10/2017,6/10/2017,Adultcumulative,23.667,,,1.392116334,,
860,Vulgaris road,2017,6/12/2017,6/12/2017,Adultcumulative,24,,,1.397940009,,
819,Vulgaris road,2017,5/20/2017,5/20/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
824,Vulgaris road,2017,5/23/2017,5/23/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
829,Vulgaris road,2017,5/26/2017,5/26/2017,Beetle,1.4,1.45405836,0.375436254,0.380211242,,
834,Vulgaris road,2017,5/29/2017,5/29/2017,Beetle,1.666666667,1.5430335,0.398409536,0.425968732,,
839,Vulgaris road,2017,6/1/2017,6/1/2017,Beetle,0.8,0.861891607,0.222539456,0.255272505,,
844,Vulgaris road,2017,6/4/2017,6/4/2017,Beetle,0.133333333,0.351865775,0.090851353,0.054357662,,
849,Vulgaris road,2017,6/7/2017,6/7/2017,Beetle,0.333333333,0.816496581,0.210818511,0.124938737,,
854,Vulgaris road,2017,6/10/2017,6/10/2017,Beetle,0.066666667,0.25819889,0.066666667,0.028028724,,
859,Vulgaris road,2017,6/12/2017,6/12/2017,Beetle,,,,0,,
816,Vulgaris road,2017,5/20/2017,5/20/2017,Larvae,21.13333333,13.20101006,3.408486142,1.345046825,,
821,Vulgaris road,2017,5/23/2017,5/23/2017,Larvae,40.53333333,22.31868745,5.76266032,1.618396788,,
826,Vulgaris road,2017,5/26/2017,5/26/2017,Larvae,20.93333333,8.030892733,2.073567587,1.341104639,,
831,Vulgaris road,2017,5/29/2017,5/29/2017,Larvae,14.26666667,5.404583593,1.395457483,1.183744223,,
836,Vulgaris road,2017,6/1/2017,6/1/2017,Larvae,5.733333333,3.594970031,0.928217271,0.828230115,,
841,Vulgaris road,2017,6/4/2017,6/4/2017,Larvae,0.2,0.414039336,0.106904497,0.079181246,,
846,Vulgaris road,2017,6/7/2017,6/7/2017,Larvae,0,0,0,0,,
851,Vulgaris road,2017,6/10/2017,6/10/2017,Larvae,0,0,0,0,,
856,Vulgaris road,2017,6/12/2017,6/12/2017,Larvae,,,,0,,
817,Vulgaris road,2017,5/20/2017,5/20/2017,Pupae,0,0,0,0,,
822,Vulgaris road,2017,5/23/2017,5/23/2017,Pupae,0,0,0,0,,
827,Vulgaris road,2017,5/26/2017,5/26/2017,Pupae,0,0,0,0,,
832,Vulgaris road,2017,5/29/2017,5/29/2017,Pupae,4.4,3.312314685,0.855235974,0.73239376,,
837,Vulgaris road,2017,6/1/2017,6/1/2017,Pupae,12,8.124038405,2.097617696,1.113943352,,
842,Vulgaris road,2017,6/4/2017,6/4/2017,Pupae,20.73333333,12.77534829,3.298580743,1.337126341,,
847,Vulgaris road,2017,6/7/2017,6/7/2017,Pupae,3.6,5.422176685,1.4,0.662757832,,
852,Vulgaris road,2017,6/10/2017,6/10/2017,Pupae,0,0,0,0,,
857,Vulgaris road,2017,6/12/2017,6/12/2017,Pupae,,,,0,,
818,Vulgaris road,2017,5/20/2017,5/20/2017,Totallarvpup,21.13333333,13.20101006,3.408486142,1.345046825,,
823,Vulgaris road,2017,5/23/2017,5/23/2017,Totallarvpup,40.53333333,22.31868745,5.76266032,1.618396788,,
828,Vulgaris road,2017,5/26/2017,5/26/2017,Totallarvpup,20.93333333,8.030892733,2.073567587,1.341104639,,
833,Vulgaris road,2017,5/29/2017,5/29/2017,Totallarvpup,18.66666667,6.924765769,1.787966833,1.293730757,,
838,Vulgaris road,2017,6/1/2017,6/1/2017,Totallarvpup,17.73333333,7.887301428,2.036492472,1.272615061,,
843,Vulgaris road,2017,6/4/2017,6/4/2017,Totallarvpup,20.93333333,12.96956143,3.348726363,1.341104639,,
848,Vulgaris road,2017,6/7/2017,6/7/2017,Totallarvpup,3.6,5.422176685,1.4,0.662757832,,
853,Vulgaris road,2017,6/10/2017,6/10/2017,Totallarvpup,0,0,0,0,,
858,Vulgaris road,2017,6/12/2017,6/12/2017,Totallarvpup,,,,0,,
865,Vulgaris small,2017,5/20/2017,5/20/2017,Adultcumulative,0,,,0,,
870,Vulgaris small,2017,5/23/2017,5/23/2017,Adultcumulative,0,,,0,,
875,Vulgaris small,2017,5/26/2017,5/26/2017,Adultcumulative,0,,,0,,
880,Vulgaris small,2017,5/29/2017,5/29/2017,Adultcumulative,0,,,0,,
885,Vulgaris small,2017,6/1/2017,6/1/2017,Adultcumulative,0,,,0,,
890,Vulgaris small,2017,6/4/2017,6/4/2017,Adultcumulative,0,,,0,,
895,Vulgaris small,2017,6/7/2017,6/7/2017,Adultcumulative,0,,,0,,
900,Vulgaris small,2017,6/9/2017,6/9/2017,Adultcumulative,0.33,,,0.123851641,,
905,Vulgaris small,2017,6/10/2017,6/10/2017,Adultcumulative,5.33,,,0.80140371,,
910,Vulgaris small,2017,6/13/2017,6/13/2017,Adultcumulative,6.33,,,0.865103975,,
864,Vulgaris small,2017,5/20/2017,5/20/2017,Beetle,0,0,0,0,,
869,Vulgaris small,2017,5/23/2017,5/23/2017,Beetle,0,0,0,0,,
874,Vulgaris small,2017,5/26/2017,5/26/2017,Beetle,0,0,0,0,,
879,Vulgaris small,2017,5/29/2017,5/29/2017,Beetle,0.4,1.055597326,0.272554058,0.146128036,,
884,Vulgaris small,2017,6/1/2017,6/1/2017,Beetle,1.666666667,1.397276262,0.36077518,0.425968732,,
889,Vulgaris small,2017,6/4/2017,6/4/2017,Beetle,0.533333333,0.833809388,0.215288658,0.185636577,,
